Link_Produk,Harga,Nama_Produk,Lokasi_Produk,tipe_mobil,Platform,Tahun,Kilometer Mobil,Jenis_Mobil
https://www.olx.co.id/item/pajak-panjang-daihatsu-sigra-12-r-bensin-mt-2017-silver-fzf-iid-929293655,102000000.0,Daihatsu Sigra,Medan Satria,manual,olx,2017,45000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-srx-iid-929293752,186000000.0,Daihatsu Xenia,Medan Satria,manual,olx,2021,5000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-wuling-cortez-15-c-bensin-mt-2019-putih-jyb-iid-929328035,178000000.0,Wuling Cortez,Medan Satria,manual,olx,2019,50000.0,Wuling
https://www.olx.co.id/item/pajak-panjang-honda-brio-satya-12-e-bensin-mt-2015-merah-7eq-iid-929366083,96000000.0,Honda Brio Satya,Mampang Prapatan,manual,olx,2015,75000.0,Honda
https://www.olx.co.id/item/mitsubishi-eterna-dohc-1992-low-km-iid-929673070,129000000.0,Mitsubishi Eterna,Pesanggrahan,manual,olx,1992,60000.0,Mitsubishi
https://www.olx.co.id/item/mobil-baru-promo-xl-7-zeta-dp-10-iid-929047054,227200000.0,Suzuki XL7,Pesanggrahan,manual,olx,2024,5000.0,Suzuki
https://www.olx.co.id/item/gran-max-blindvan-2019granmac-blinvan-2019-iid-926770575,85000000.0,Daihatsu Gran max,Kebayoran Lama,manual,olx,2019,90000.0,Daihatsu
https://www.olx.co.id/item/honda-genio-sr4-1992-manual-iid-923284793,53000000.0,Honda Genio,Pesanggrahan,manual,olx,1992,255000.0,Honda
https://www.olx.co.id/item/suzuki-jimny-caribian-4x4-thn-2005-iid-929693222,225000000.0,Suzuki Jimny,Kebayoran Lama,manual,olx,2005,15000.0,Suzuki
https://www.olx.co.id/item/dp-5-juta-honda-brv-e-2023-manual-hitam-aojg-iid-929693148,198000000.0,Honda BR-V,Kebayoran Baru,manual,olx,2023,25000.0,Honda
https://www.olx.co.id/item/nissan-march-12-manual-2018-fulloriginal-sepertibaru-gressss-istimewa-iid-918954272,98000000.0,Nissan March,Cilandak,manual,olx,2018,30000.0,Nissan
https://www.olx.co.id/item/daihatsu-gran-max-15-d-48rbkm-2018-power-sterring-fulloriginal-gresss-iid-915772828,108000000.0,Daihatsu Gran Max MB,Cilandak,manual,olx,2018,40000.0,Daihatsu
https://www.olx.co.id/item/mitsubishi-l300-box-alumuniun-diesel-2017-fulloriginal-super-istimewa-iid-913513607,122000000.0,Mitsubishi L300,Cilandak,manual,olx,2017,70000.0,Mitsubishi
https://www.olx.co.id/item/jual-tt-bt-minat-silahkan-ajukan-iid-929690065,25000000.0,Hyundai Excel,Kebayoran Baru,manual,olx,2004,100000.0,Hyundai
https://www.olx.co.id/item/toyota-kijang-2000-bensin-iid-929684125,87000000.0,Toyota Kijang,Cilandak,manual,olx,2000,120000.0,Toyota
https://www.olx.co.id/item/honda-civic-type-r-2019-iid-929681829,831000000.0,Honda Civic Type R,Cilandak,manual,olx,2019,15000.0,Honda
https://www.olx.co.id/item/calya-g-manual-mt-2022-cash-iid-929681422,123000000.0,Toyota Calya,Pesanggrahan,manual,olx,2022,100000.0,Toyota
https://www.olx.co.id/item/toyota-agya-g-mt-th-2015-istana-jaya-motor-iid-929681330,83000000.0,Toyota Agya,Kebayoran Baru,manual,olx,2015,90000.0,Toyota
https://www.olx.co.id/item/grand-cherokee-2012-black-on-brown-super-deal-iid-929679442,400000000.0,Jeep Grand Cherokee,Jakarta Selatan,manual,olx,2012,90000.0,Jeep
https://www.olx.co.id/item/pajak-panjang-wuling-confero-s-15-l-bensin-mt-2019-hitam-ukx-iid-929328574,87400000.0,Wuling Confero S,Medan Satria,manual,olx,2019,75000.0,Wuling
https://www.olx.co.id/item/pajak-panjang-suzuki-ertiga-14-ga-bensin-mt-2017-putih-sza-iid-929391624,123000000.0,Suzuki Ertiga,Medan Satria,manual,olx,2017,95000.0,Suzuki
https://www.olx.co.id/item/pajak-panjang-toyota-raize-12-g-bensin-mt-2023-hitam-1hy-iid-929391159,201000000.0,Toyota Raize,Kelapa Gading,manual,olx,2023,15000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-hyundai-i20-14-gl-bensin-mt-2016-putih-kiw-iid-929391718,123000000.0,Hyundai i20,Cibubur,manual,olx,2016,115000.0,Hyundai
https://www.olx.co.id/item/pajak-panjang-honda-mobilio-15-s-bensin-mt-2021-putih-czs-iid-929396250,124450000.0,Honda Mobilio,Medan Satria,manual,olx,2021,25000.0,Honda
https://www.olx.co.id/item/dp10-km6000-gr-yaris-mt-2021-2022-mdl-gr86-brz-2023-autohigh-iid-928309692,850000000.0,Toyota Yaris,Kebayoran Baru,manual,olx,2021,5000.0,Toyota
https://www.olx.co.id/item/daihatsu-xenia-li-deluxe-2005-mulus-sekali-lihat-pasti-naksir-iid-926312444,52000000.0,Daihatsu Xenia,Cilandak,manual,olx,2005,110000.0,Daihatsu
https://www.olx.co.id/item/mobil-baru-carry-pick-up-diskon-41jt-iid-923385419,129000000.0,Suzuki Carry Pick-up,Pasar Minggu,manual,olx,2024,5000.0,Suzuki
https://www.olx.co.id/item/dp30-km50-fairlady-z-2022-2024-like-cayman-boxster-autohigh-iid-879851119,2150000000.0,Nissan Fairlady,Kebayoran Baru,manual,olx,2022,5000.0,Nissan
https://www.olx.co.id/item/tdp-0-angs-termurah-all-new-avanza-g-2023-manual-low-km-seperti-baru-iid-929679310,200000000.0,Toyota Avanza,Cilandak,manual,olx,2023,20000.0,Toyota
https://www.olx.co.id/item/kia-picanto-2005-manual-istimewa-iid-928978594,47500000.0,Kia Picanto,Pasar Minggu,manual,olx,2005,90000.0,KIA
https://www.olx.co.id/item/tdp-5-avanza-g-mt-2023-iid-929677407,210000000.0,Toyota Avanza,Cilandak,manual,olx,2023,20000.0,Toyota
https://www.olx.co.id/item/rush-hitam-2015-iid-925666666,145000000.0,Toyota Rush,Kebayoran Baru,manual,olx,2015,145000.0,Toyota
https://www.olx.co.id/item/honda-jazz-s-mt-2019-antik-11-ribu-km--iid-929676219,195000000.0,Honda Jazz,Mampang Prapatan,manual,olx,2019,15000.0,Honda
https://www.olx.co.id/item/losbak-hino-dutro-136-hdl-extralong-2023-iid-929674549,360000000.0,Hino Dutro,Cilandak,manual,olx,2023,25000.0,Hino
https://www.olx.co.id/item/toyota-great-corolla-seg-16-mt-1994-tipe-tertinggi-jakarta-selatan-iid-929673111,52000000.0,Toyota Corolla,Pasar Minggu,manual,olx,1994,110000.0,Toyota
https://www.olx.co.id/item/toyota-landcruiser-hardtop-iid-929671440,335000000.0,Toyota Hardtop,Cilandak,manual,olx,1986,135000.0,Toyota
https://www.olx.co.id/item/grand-max-blinvan-grandmax-granmax-gran-max-daihatsu-box-blin-van-iid-929671057,86000000.0,Daihatsu Gran max,Kebayoran Lama,manual,olx,2020,95000.0,Daihatsu
https://www.olx.co.id/item/tdp-8jt-honda-hr-v-2016-s-mt-low-kilometer-iid-929669085,145000000.0,Honda HR-V,Kebayoran Lama,manual,olx,2016,50000.0,Honda
https://www.olx.co.id/item/pajak-panjang-suzuki-baleno-14-bensin-mt-2019-merah-wzv-iid-929396374,142000000.0,Suzuki Baleno,Medan Satria,manual,olx,2019,45000.0,Suzuki
https://www.olx.co.id/item/pajak-panjang-toyota-calya-12-g-bensin-mt-2018-silver-bzu-iid-929396436,98000000.0,Toyota Calya,Medan Satria,manual,olx,2018,50000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-toyota-raize-10-turbo-g-bensin-mt-2023-merah-faz-iid-929396488,188000000.0,Toyota Raize,Medan Satria,manual,olx,2023,30000.0,Toyota
https://www.olx.co.id/item/km-rendah-honda-brio-satya-12-e-bensin-mt-2022-hitam-fkk-iid-929464960,148000000.0,Honda Brio Satya,Cengkareng,manual,olx,2024,5000.0,Honda
https://www.olx.co.id/item/dp-rendah-daihatsu-ayla-12-r-bensin-mt-2019-putih-9go-iid-929465173,113000000.0,Daihatsu Ayla,Cikampek,manual,olx,2019,50000.0,Daihatsu
https://www.olx.co.id/item/rush-15-s-trd-manual-2013-antik-dan-original-body-iid-929685307,140000000.0,Toyota Rush,Cilandak,manual,olx,2013,40000.0,Toyota
https://www.olx.co.id/item/corolla-dx-spek-gt-asli-iid-928351605,165000000.0,Toyota Corolla,Kebayoran Baru,manual,olx,1986,90000.0,Toyota
https://www.olx.co.id/item/gran-max-blindvan-2018grand-max-blinvan-2018-iid-914637469,79000000.0,Daihatsu Gran max,Kebayoran Lama,manual,olx,2018,85000.0,Daihatsu
https://www.olx.co.id/item/dp-2-jt-calya-g-2022-manual-siap-pakai-istimewa-tgn-1-pribadi-iid-929399042,105000000.0,Toyota Calya,Kebayoran Baru,manual,olx,2022,20000.0,Toyota
https://www.olx.co.id/item/toyota-avanza-e-upgrade-g-13cc-manual-th2017-iid-929668219,116000000.0,Toyota Avanza,Kebayoran Baru,manual,olx,2017,130000.0,Toyota
https://www.olx.co.id/item/nissan-terrano-1997-bensin-iid-929666079,47000000.0,Nissan Terrano,Pasar Minggu,manual,olx,1997,140000.0,Nissan
https://www.olx.co.id/item/isuzu-panther-2003-diesel-iid-929665090,85000000.0,Isuzu Panther,Cilandak,manual,olx,2003,200000.0,Isuzu
https://www.olx.co.id/item/vios-g-mt-bukan-eks-taxi-iid-929661287,69000000.0,Toyota Vios,Pesanggrahan,manual,olx,2007,145000.0,Toyota
https://www.olx.co.id/item/jual-cepat-hyundai-avega-15-manual-tahun-2008-warna-hitam-iid-929659788,51000000.0,Hyundai Avega,Cilandak,manual,olx,2008,180000.0,Hyundai
https://www.olx.co.id/item/suzuki-karimun-wagon-r-gl-mt-manual-th-2017-iid-929659638,83500000.0,Suzuki Karimun Wagon R,Kebayoran Lama,manual,olx,2017,40000.0,Suzuki
https://www.olx.co.id/item/mini-cooper-clubman-km-8-rb-2022-iid-929659098,825000000.0,Mini Cooper Mini Cooper,Kebayoran Baru,manual,olx,2022,10000.0,Mini
https://www.olx.co.id/item/vw-combi-bahan-1972-iid-929657397,35000000.0,Volkswagen Combi,Cilandak,manual,olx,1986,40000.0,Volkswagen
https://www.olx.co.id/item/ford-ranger-dc-f150-raptor-2013-full-modifikas-full-spek-kerenhabis-iid-929260207,288000000.0,Ford Ranger Double Cabin,Cilandak,manual,olx,2013,85000.0,Ford
https://www.olx.co.id/item/yaris-trd-sportivo-manual-2016-iid-929652676,147000000.0,Toyota Yaris,Mampang Prapatan,manual,olx,2016,70000.0,Toyota
https://www.olx.co.id/item/bmw-e36-323i-mt-th1997-special-performance-parts-iid-923492195,160000000.0,BMW 323i,Cilandak,manual,olx,1997,155000.0,BMW
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-hitam-srx-iid-929465080,178000000.0,Daihatsu Xenia,Kemayoran,manual,olx,2021,55000.0,Daihatsu
https://www.olx.co.id/item/dp-rendah-toyota-rush-15-s-bensin-mt-2019-silver-7gp-iid-929465282,181000000.0,Toyota Rush,Kemayoran,manual,olx,2019,85000.0,Toyota
https://www.olx.co.id/item/dp-rendah-toyota-agya-10-e-bensin-mt-2017-merah-fzi-iid-929492475,96000000.0,Toyota Agya,Medan Satria,manual,olx,2017,55000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-daihatsu-ayla-10-new-x-bensin-mt-2023-vka-iid-929492380,124000000.0,Daihatsu Ayla,Medan Satria,manual,olx,2023,15000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-daihatsu-gran-max-15-d-bensin-mt-2023-silver-roa-iid-929494507,173000000.0,Daihatsu Gran max,Medan Satria,manual,olx,2023,25000.0,Daihatsu
https://www.olx.co.id/item/mark-x-at-2012-hitam-metalik-iid-929578574,195000000.0,Toyota Mark X,Jakarta Selatan,manual,olx,2012,90000.0,Toyota
https://www.olx.co.id/item/tdp-3-jt-daihatsu-gran-max-blind-van-ac-mt-2018-putih-iid-927940540,78000000.0,Daihatsu Gran max,Kebayoran Lama,manual,olx,2018,115000.0,Daihatsu
https://www.olx.co.id/item/mercedes-benz-sprinter-a2-2013-alphard-2014-2015-2016-2017-2018-iid-928435757,625000000.0,Mercedes-Benz Sprinter,Kebayoran Baru,manual,olx,2013,50000.0,Mercedes-Benz
https://www.olx.co.id/item/honda-cr-v-2011-bensin-iid-929504422,125000000.0,Honda CR-V,Kebayoran Lama,manual,olx,2011,125000.0,Honda
https://www.olx.co.id/item/nissan-grandlivina-15-xv-manual-thn-2008-istimewa-iid-929651904,74500000.0,Nissan Grand livina,Pasar Minggu,manual,olx,2008,110000.0,Nissan
https://www.olx.co.id/item/fortuner-g-trd-sportivo-manual-2014-iid-929651797,270000000.0,Toyota Fortuner,Mampang Prapatan,manual,olx,2014,115000.0,Toyota
https://www.olx.co.id/item/termurah-land-cruiser-vx80-1996-iid-929651048,435000000.0,Toyota Land Cruiser,Kebayoran Lama,manual,olx,1996,175000.0,Toyota
https://www.olx.co.id/item/nissan-grandlivina-15-xv-thn2008-manual-pribadiantik-iid-929650128,74500000.0,Nissan Grand livina,Pasar Minggu,manual,olx,2008,105000.0,Nissan
https://www.olx.co.id/item/dijual-honda-brio-12-e-manual-2023-km1ribuan-tgn-pertama-free-service-iid-929648729,145000000.0,Honda Brio,Kebayoran Baru,manual,olx,2023,5000.0,Honda
https://www.olx.co.id/item/mitsubishi-colt-l300-25-diesel-ac-box-alumunium-2019-terawat-iid-929648477,154900000.0,Mitsubishi Colt L300,Pesanggrahan,manual,olx,2019,85000.0,Mitsubishi
https://www.olx.co.id/item/mitsubishi-colt-l300-25-diesel-ac-box-alumunium-2019-terawat-iid-929648425,154900000.0,Mitsubishi L300,Pesanggrahan,manual,olx,2019,85000.0,Mitsubishi
https://www.olx.co.id/item/suzuki-xl7-alpha-manual-2021-khaki-iid-929647459,185000000.0,Suzuki XL7,Pancoran,manual,olx,2021,15000.0,Suzuki
https://www.olx.co.id/item/toyota-avanza-13-g-mt-2012-iid-929644598,98000000.0,Toyota Avanza,Cilandak,manual,olx,2012,105000.0,Toyota
https://www.olx.co.id/item/daihatsu-ayla-x-2018-dp-7-jt-full-ors-km-low-tgn-1-iid-929642777,84000000.0,Daihatsu Ayla,Kebayoran Baru,manual,olx,2018,90000.0,Daihatsu
https://www.olx.co.id/item/cash-daihatsu-xenia-li-mt-2010-iid-929642318,64500000.0,Daihatsu Xenia,Pesanggrahan,manual,olx,2010,150000.0,Daihatsu
https://www.olx.co.id/item/dp-rendah-toyota-rush-15-trd-sportivo-bensin-mt-2016-silver-0tt-iid-929494382,162000000.0,Toyota Rush,Medan Satria,manual,olx,2016,110000.0,Toyota
https://www.olx.co.id/item/dp-rendah-suzuki-apv-15-deluxe-bensin-mt-2016-abu-abu-bkf-iid-929643221,102000000.0,Suzuki APV,Medan Satria,manual,olx,2016,165000.0,Suzuki
https://www.olx.co.id/item/pajak-panjang-toyota-sienta-15-e-bensin-mt-2016-putih-bmu-iid-929643541,148000000.0,Toyota Sienta,Kemayoran,manual,olx,2016,75000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-suzuki-sx4-15-s-cross-bensin-mt-2018-putih-ukf-iid-929283917,165000000.0,Suzuki SX4,Pondok Melati,manual,olx,2018,35000.0,Suzuki
https://www.olx.co.id/item/dp-rendah-honda-brio-satya-12-e-bensin-mt-2016-abu-7pf-iid-927505334,120000000.0,Honda Brio Satya,Tambun Selatan,manual,olx,2016,95000.0,Honda
https://www.olx.co.id/item/daihatsu-ayla-manual-2024-km2rb-perak-sepertibaru-tidakjadipakai-gress-iid-929131696,99000000.0,Daihatsu Ayla,Cilandak,manual,olx,2024,5000.0,Daihatsu
https://www.olx.co.id/item/kijang-kapsul-25-diesel-1997-iid-929541734,68000000.0,Toyota Kijang Super,Pancoran,manual,olx,1997,300000.0,Toyota
https://www.olx.co.id/item/timor-dohc-1998-bensin-iid-929471807,24000000.0,Timor DOHC,Pesanggrahan,manual,olx,1998,160000.0,Timor
https://www.olx.co.id/item/daihatsu-zebra-1993-bagus-murah-iid-929641121,14000000.0,Daihatsu Zebra,Pasar Minggu,manual,olx,1993,60000.0,Daihatsu
https://www.olx.co.id/item/x-trail-20-st-manual-transmisi-2010-iid-929639363,65000000.0,Nissan X-Trail,Cilandak,manual,olx,2010,125000.0,Nissan
https://www.olx.co.id/item/km-90rb-innova-v-bensin-mt-2010-iid-929639025,149000000.0,Toyota Kijang Innova,Kebayoran Lama,manual,olx,2010,95000.0,Toyota
https://www.olx.co.id/item/toyota-avanza-2021-bensin-iid-929635736,185000000.0,Toyota Avanza,Kebayoran Lama,manual,olx,2021,70000.0,Toyota
https://www.olx.co.id/item/dp-4-jt-ayla-r-2022-12cc-full-ors-tgn-1-istimewa-siap-pakai-iid-929635290,109000000.0,Daihatsu Ayla,Kebayoran Baru,manual,olx,2022,45000.0,Daihatsu
https://www.olx.co.id/item/kijang-kondisi-mesin-kuat-keluar-kota-iid-928690183,40500000.0,Toyota Kijang,Cilandak,manual,olx,1996,120000.0,Toyota
https://www.olx.co.id/item/dp-9-jt-daihatsu-gran-max-grand-max-minibus-1500-ac-ps-2017-iid-929632859,93000000.0,Daihatsu Gran max,Jakarta Selatan,manual,olx,2017,105000.0,Daihatsu
https://www.olx.co.id/item/wuling-confero-manual-2020-iid-929631970,92000000.0,Wuling Confero,Cilandak,manual,olx,2020,50000.0,Wuling
https://www.olx.co.id/item/toyota-avanza-2022-bensin-iid-929631967,180000000.0,Toyota Avanza,Cilandak,manual,olx,2022,70000.0,Toyota
https://www.olx.co.id/item/tdp-3-jt-toyota-kijang-innova-g-2013-mt-iid-929556384,139000000.0,Toyota Kijang Innova,Kebayoran Baru,manual,olx,2013,125000.0,Toyota
https://www.olx.co.id/item/granmax-putih-2020-mulus-tgn-ke-1-oddo-36rb-iid-924925096,136000000.0,Daihatsu Gran max,Kebayoran Baru,manual,olx,2020,30000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-mitsubishi-xpander-15-sport-bensin-mt-2019-egz-iid-928750765,174000000.0,Mitsubishi Xpander,Tambun Selatan,manual,olx,2019,35000.0,Mitsubishi
https://www.olx.co.id/item/pajak-panjang-toyota-agya-12-g-trd-sportivo-bensin-mt-2018-fbb-iid-928751045,101000000.0,Toyota Agya,Tambun Selatan,manual,olx,2018,100000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-toyota-calya-12-g-bensin-mt-2018-silver-bzu-iid-928751409,98000000.0,Toyota Calya,Tambun Selatan,manual,olx,2018,50000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-13-x-bensin-mt-2024-silver-3ko-iid-928836060,195000000.0,Daihatsu Xenia,Cilincing,manual,olx,2024,15000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-toyota-sienta-15-v-bensin-mt-2017-putih-zkd-iid-928835948,155000000.0,Toyota Sienta,Matraman,manual,olx,2017,45000.0,Toyota
https://www.olx.co.id/item/suzuki-sj410-katana-iid-929538415,135000000.0,Suzuki Katana,Pesanggrahan,manual,olx,1995,85000.0,Suzuki
https://www.olx.co.id/item/daihatsu-terios-15-tx-silver-mt-2013-iid-929210747,117000000.0,Daihatsu Terios,Pasar Minggu,manual,olx,2013,200000.0,Daihatsu
https://www.olx.co.id/item/vip-dealer-toyota-avanza-veloz-manual-2018-fulloriginal-iid-920706287,135000000.0,Toyota Avanza,Cilandak,manual,olx,2018,60000.0,Toyota
https://www.olx.co.id/item/suzuki-katana-gx-2001-antik-istimewa-tdp-10-jt-iid-928978062,65000000.0,Suzuki Katana,Kebayoran Lama,manual,olx,2001,40000.0,Suzuki
https://www.olx.co.id/item/daihatsu-xenia-2013-bensin-iid-929630159,112000000.0,Daihatsu Xenia,Cilandak,manual,olx,2013,105000.0,Daihatsu
https://www.olx.co.id/item/rush-trd-mt-14-dp-10-iid-928514148,135000000.0,Toyota Rush,Pasar Minggu,manual,olx,2014,155000.0,Toyota
https://www.olx.co.id/item/innova-reborn-diesel-iid-928530607,326500000.0,Toyota Kijang Innova,Cilandak,manual,olx,2020,60000.0,Toyota
https://www.olx.co.id/item/starlet-kotak-xl-10-ep70-tahun-1986-edisi-lisse-langka-siap-jalan-iid-922184497,34000000.0,Toyota Starlet,Pesanggrahan,manual,olx,1986,260000.0,Toyota
https://www.olx.co.id/item/2022-suzuki-jimny-4x4-3-doors-ivory-two-tone-mt-iid-928370843,470000000.0,Suzuki Jimny,Pesanggrahan,manual,olx,2022,20000.0,Suzuki
https://www.olx.co.id/item/toyota-hiace-commuter-iid-929622986,360000000.0,Toyota Hiace,Pasar Minggu,manual,olx,2012,105000.0,Toyota
https://www.olx.co.id/item/taruna-2005-csx-oxxy-antik-super-istimewa-iid-929484370,78000000.0,Daihatsu Taruna,Kebayoran Lama,manual,olx,2005,55000.0,Daihatsu
https://www.olx.co.id/item/toyota-avanza-2023-bensin-iid-929619594,210000000.0,Toyota Avanza,Cilandak,manual,olx,2023,30000.0,Toyota
https://www.olx.co.id/item/tdp-5-daihatsu-terios-2023-bensin-iid-926111397,210000000.0,Daihatsu Terios,Cilandak,manual,olx,2023,5000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-toyota-avanza-13-e-bensin-mt-2022-hitam-ezl-iid-928841015,178000000.0,Toyota Avanza,Tambun Selatan,manual,olx,2022,20000.0,Toyota
https://www.olx.co.id/item/dp-rendah-toyota-raize-10-turbo-g-bensin-mt-2022-merah-kzq-iid-929047365,164000000.0,Toyota Raize,Tambun Selatan,manual,olx,2022,45000.0,Toyota
https://www.olx.co.id/item/pajak-panjang-toyota-raize-10-g-one-tone-bensin-mt-2021-hitam-kzk-iid-929047511,152000000.0,Toyota Raize,Tambun Selatan,manual,olx,2021,55000.0,Toyota
https://www.olx.co.id/item/dp-rendah-daihatsu-xenia-13-r-bensin-mt-2014-silver-tid-iid-929047426,106000000.0,Daihatsu Xenia,Tambun Selatan,manual,olx,2014,130000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-suzuki-ignis-12-gl-bensin-mt-2021-orange-kzj-iid-929047562,123000000.0,Suzuki Ignis,Tambun Selatan,manual,olx,2021,90000.0,Suzuki
https://www.olx.co.id/item/mobil-baru-dp-5jt-suzuki-carry-pick-up-iid-929009580,135500000.0,Suzuki Carry Pick-up,Kebayoran Lama,manual,olx,2024,5000.0,Suzuki
https://www.olx.co.id/item/turun-harga-ori-4x4-km-130rb-mitsubishi-pajero-v6-3000cc-manual-1995-iid-924923665,143000000.0,Mitsubishi Pajero,Pasar Minggu,manual,olx,1995,135000.0,Mitsubishi
https://www.olx.co.id/item/toyota-calya-tdp5jt-g-manual-2023-km7rb-fulloriginal-sepertibaru-gress-iid-924418026,132000000.0,Toyota Calya,Cilandak,manual,olx,2023,10000.0,Toyota
https://www.olx.co.id/item/toyota-calya-tdp5jt-12-e-manual-2023-fulloriginal-sepertibaru-gressss-iid-921458486,123000000.0,Toyota Calya,Cilandak,manual,olx,2023,15000.0,Toyota
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617054,170000000.0,Daihatsu Terios,Kebayoran Lama,manual,olx,2018,120000.0,Daihatsu
https://www.olx.co.id/item/daihatsu-terios-2018-bensin-iid-929617051,170000000.0,Daihatsu Terios,Kebayoran Lama,manual,olx,2018,120000.0,Daihatsu
https://www.olx.co.id/item/tdp-5-toyota-rush-2021-bensin-iid-924659565,225000000.0,Toyota Rush,Cilandak,manual,olx,2021,40000.0,Toyota
https://www.olx.co.id/item/daihatsu-sigra-2024-bensin-iid-928010086,148000000.0,Daihatsu Sigra,Cilandak,manual,olx,2024,30000.0,Daihatsu
